A,B,C,D,E,F,lambda_start,lambda_end,d,D_cf_unit,E_cf_unit,weight
0.04581721560862944,-0.023835813663287235,0.624467323323124,0.07839606242018624,0.06370304656589412,0.625,0.0,0.256368595138984,1.0,0.19536601661275133,0.0,1.0
0.056555576274080116,-0.03081574809583017,0.5189687538291949,0.1601574537779813,0.055131287794512374,0.625,0.256368595138984,0.27960587073822957,1.0,0.2639400867838052,0.0,1.0
0.09698038107455283,-0.04738991806402399,0.10047900653381392,0.4363606869929328,0.012236088696735816,0.625,0.27960587073822957,0.291276828128537,1.0,0.43552088317491144,0.0,1.0
0.10157711709328057,-0.04955038399282603,0.05244605253573742,0.47094441387154784,0.006592216601961827,0.625,0.291276828128537,0.41804461476902366,1.0,0.4580963715540074,0.0,1.0
0.11353760093649089,-0.056607069460320125,-0.06505921435045203,0.525584362973626,0.015258230034818299,0.625,0.41804461476902366,0.42086747310419564,1.0,0.5274244790168592,0.0,1.0
0.12200904488962623,-0.059572074843917494,-0.15275815208615473,0.5562789911811219,0.015258230034818299,0.625,0.42086747310419564,0.5903366637273555,1.0,0.5581191072243551,0.0,1.0
0.13009086888711008,-0.060461075483640714,-0.23720804842784915,0.5550122427359965,0.016419416109516596,0.625,0.5903366637273555,0.7379793141838616,1.0,0.5674085958219415,0.0,1.0
0.13943970594111935,-0.06205037778282229,-0.36055539663986536,0.5913997104585413,0.013798284960011252,0.625,0.7379793141838616,0.7549957734190053,1.0,0.5883776450179843,0.0,1.0
0.13943970594111935,-0.06205037778282229,-0.36055539663986536,0.5913997104585413,0.013798284960011252,0.25,0.7549957734190053,0.7833665154996663,1.0,0.5883776450179843,0.0,1.0
0.15052837139483466,-0.0646007708371768,-0.5278994972909162,0.6717248787710458,0.00417599917257583,0.25,0.7833665154996663,0.8300569296289845,1.0,0.6268667881677261,0.0,1.0
0.15147084849942064,-0.06487408919750673,-0.5424732246654046,0.6795946915532696,0.0031194039379254263,0.25,0.8300569296289845,0.8379218431858063,1.0,0.6310931691063277,0.0,1.0
0.15276161423719034,-0.0654807490942585,-0.5601700865744912,0.690124324389176,0.002079713300766589,0.25,0.8379218431858063,0.9617118423181908,1.0,0.6394106942035984,0.0,1.0
0.17512856299265092,-0.08001926578530787,-0.7871595969890347,0.7809201285549934,0.03896550874312991,0.0,0.9617118423181908,1.0,1.0,0.7869538759730517,0.0,1.0
