analysis,scope,country,observed_estimate,replicated_mean,two_sided_predictive_tail_probability,source_type,inference_level
bayesian_rd_summary_hierarchical_posterior_predictive_check,country,Pakistan,-87.4,9.34556139028014,0.1676,reported_estimate_and_standard_error,summary_data_hierarchical_ppc
bayesian_rd_summary_hierarchical_posterior_predictive_check,country,Israel,28.9,9.516903227405273,0.5716,reported_estimate_and_standard_error,summary_data_hierarchical_ppc
bayesian_rd_summary_hierarchical_posterior_predictive_check,country,North Korea,43.1,10.746195864252003,0.3819,reported_estimate_and_standard_error,summary_data_hierarchical_ppc
bayesian_rd_summary_hierarchical_posterior_predictive_check,global,ALL,87.4,130.5,0.2956,reported_estimate_and_standard_error,summary_data_hierarchical_ppc
bayesian_rd_summary_hierarchical_posterior_predictive_check,global_range,ALL,130.5,130.5,0.1692,reported_estimate_and_standard_error,summary_data_hierarchical_ppc
