state,United States,Russia,United Kingdom,France,China,India,Pakistan,North Korea,Israel,Switzerland,Belgium,Taiwan
United States,0.000000,0.866025,1.000000,1.000000,0.353553,0.968246,1.802776,2.397916,1.198958,1.391941,1.639360,1.224745
Russia,0.866025,0.000000,0.707107,0.707107,0.707107,0.433013,1.172604,1.695583,0.750000,1.250000,1.198958,0.935414
United Kingdom,1.000000,0.707107,0.000000,0.000000,0.866025,0.433013,0.935414,1.500000,0.433013,0.750000,0.901388,0.612372
France,1.000000,0.707107,0.000000,0.000000,0.866025,0.433013,0.935414,1.500000,0.433013,0.750000,0.901388,0.612372
China,0.353553,0.707107,0.866025,0.866025,0.000000,0.829156,1.658312,2.236068,1.089725,1.346291,1.520691,1.060660
India,0.968246,0.433013,0.433013,0.433013,0.829156,0.000000,0.901388,1.479020,0.500000,0.935414,0.866025,0.661438
Pakistan,1.802776,1.172604,0.935414,0.935414,1.658312,0.901388,0.000000,0.707107,0.750000,1.089725,0.661438,0.935414
North Korea,2.397916,1.695583,1.500000,1.500000,2.236068,1.479020,0.707107,0.000000,1.299038,1.520691,1.089725,1.500000
Israel,1.198958,0.750000,0.433013,0.433013,1.089725,0.500000,0.750000,1.299038,0.000000,0.790569,0.790569,0.559017
Switzerland,1.391941,1.250000,0.750000,0.750000,1.346291,0.935414,1.089725,1.520691,0.790569,0.000000,0.707107,0.829156
Belgium,1.639360,1.198958,0.901388,0.901388,1.520691,0.866025,0.661438,1.089725,0.790569,0.707107,0.000000,0.829156
Taiwan,1.224745,0.935414,0.612372,0.612372,1.060660,0.661438,0.935414,1.500000,0.559017,0.829156,0.829156,0.000000
