state,United States,Russia,United Kingdom,France,China,India,Pakistan,North Korea,Israel,Switzerland,Belgium,Taiwan
United States,0,0.52953341754234806,0.37036815687556468,0.435903237658193,0.15473773031381857,0.56681154917111454,1.2843322166752911,1.900825076816997,0.69755962012133255,0.78907516491289686,0.95259138508052632,0.70689756165824547
Russia,0.52953341754234806,0,0.3781392480662491,0.28847738067608264,0.43516458902982919,0.30006273584002702,0.87706040173728272,1.4431585007970558,0.48570520332054745,0.74378741712498364,0.72938153413366014,0.60225182887372097
United Kingdom,0.37036815687556468,0.3781392480662491,0,0.15304113945739148,0.30500046731684605,0.27828193602334944,0.9475192121862267,1.5837636448502925,0.41927818984107529,0.51499720040681762,0.62081606909249754,0.48025876498127346
France,0.435903237658193,0.28847738067608264,0.15304113945739148,0,0.33392475035459701,0.20924434494317037,0.88247909485237142,1.5061491516264949,0.37620594527830614,0.53436738293654829,0.59047530188535302,0.47225087310754016
China,0.15473773031381857,0.43516458902982919,0.30500046731684605,0.33392475035459701,0,0.46089847783789889,1.1872986680500666,1.7909132198898057,0.59672996195315597,0.72397317931748506,0.8631770561853952,0.63058047182920984
India,0.56681154917111454,0.30006273584002702,0.27828193602334944,0.20924434494317037,0.46089847783789889,0,0.73797684250336815,1.3560047435471456,0.33164634847940111,0.54417185018732361,0.51456231763843896,0.43109694295958301
Pakistan,1.2843322166752911,0.87706040173728272,0.9475192121862267,0.88247909485237142,1.1872986680500666,0.73797684250336815,0,0.68550432208723955,0.73597353525576881,0.88572289255341408,0.61787557495561873,0.80086988284423222
North Korea,1.900825076816997,1.4431585007970558,1.5837636448502925,1.5061491516264949,1.7909132198898057,1.3560047435471456,0.68550432208723955,0,1.3034306311852895,1.4860117006540352,1.2212335611826008,1.3767163631237744
Israel,0.69755962012133255,0.48570520332054745,0.41927818984107529,0.37620594527830614,0.59672996195315597,0.33164634847940111,0.73597353525576881,1.3034306311852895,0,0.45831943002803066,0.49998137366335954,0.33660874231884336
Switzerland,0.78907516491289686,0.74378741712498364,0.51499720040681762,0.53436738293654829,0.72397317931748506,0.54417185018732361,0.88572289255341408,1.4860117006540352,0.45831943002803066,0,0.35042038137642062,0.45978817646177239
Belgium,0.95259138508052632,0.72938153413366014,0.62081606909249754,0.59047530188535302,0.8631770561853952,0.51456231763843896,0.61787557495561873,1.2212335611826008,0.49998137366335954,0.35042038137642062,0,0.55636168193970403
Taiwan,0.70689756165824547,0.60225182887372097,0.48025876498127346,0.47225087310754016,0.63058047182920984,0.43109694295958301,0.80086988284423222,1.3767163631237744,0.33660874231884336,0.45978817646177239,0.55636168193970403,0
