feature_id,birth,death,persistence
0,0.27828193602334944,0.27828193602334944,0.0
1,0.300062735840027,0.300062735840027,0.0
2,0.333924750354597,0.333924750354597,0.0
3,0.3703681568755647,0.3703681568755647,0.0
4,0.37620594527830614,0.37620594527830614,0.0
5,0.3781392480662491,0.3781392480662491,0.0
6,0.4192781898410753,0.4192781898410753,0.0
7,0.431096942959583,0.431096942959583,0.0
8,0.4351645890298292,0.4351645890298292,0.0
9,0.435903237658193,0.435903237658193,0.0
10,0.4597881764617724,0.4597881764617724,0.0
11,0.4608984778378989,0.4608984778378989,0.0
12,0.47225087310754016,0.47225087310754016,0.0
13,0.48025876498127346,0.48025876498127346,0.0
14,0.48570520332054745,0.48570520332054745,0.0
15,0.49998137366335954,0.49998137366335954,0.0
16,0.514562317638439,0.514562317638439,0.0
17,0.5149972004068176,0.5149972004068176,0.0
18,0.5295334175423481,0.5295334175423481,0.0
19,0.5343673829365483,0.5343673829365483,0.0
20,0.5441718501873236,0.5441718501873236,0.0
21,0.556361681939704,0.556361681939704,0.0
22,0.5668115491711145,0.5668115491711145,0.0
23,0.590475301885353,0.590475301885353,0.0
24,0.596729961953156,0.596729961953156,0.0
25,0.602251828873721,0.602251828873721,0.0
26,0.6208160690924975,0.6208160690924975,0.0
27,0.6305804718292098,0.6305804718292098,0.0
28,0.6975596201213325,0.6975596201213325,0.0
29,0.7068975616582455,0.7068975616582455,0.0
30,0.7239731793174851,0.7239731793174851,0.0
31,0.7293815341336601,0.7293815341336601,0.0
32,0.7359735352557688,0.7359735352557688,0.0
33,0.7379768425033681,0.7379768425033681,0.0
34,0.7437874171249836,0.7437874171249836,0.0
35,0.7890751649128969,0.7890751649128969,0.0
36,0.8008698828442322,0.8008698828442322,0.0
37,0.8631770561853952,0.8631770561853952,0.0
38,0.8770604017372827,0.8770604017372827,0.0
39,0.8824790948523714,0.8824790948523714,0.0
40,0.8857228925534141,0.8857228925534141,0.0
41,0.9475192121862267,0.9475192121862267,0.0
42,0.9525913850805263,0.9525913850805263,0.0
43,1.1872986680500666,1.1872986680500666,0.0
44,1.2212335611826008,1.2212335611826008,0.0
45,1.284332216675291,1.284332216675291,0.0
46,1.3034306311852895,1.3034306311852895,0.0
47,1.3560047435471456,1.3560047435471456,0.0
48,1.3767163631237744,1.3767163631237744,0.0
49,1.4431585007970558,1.4431585007970558,0.0
50,1.4860117006540352,1.4860117006540352,0.0
51,1.5061491516264949,1.5061491516264949,0.0
52,1.5837636448502925,1.5837636448502925,0.0
53,1.7909132198898057,1.7909132198898057,0.0
54,1.900825076816997,1.900825076816997,0.0
