domain,metric,value,source_artifact,interpretation
rd_data_contract,source_row_count,1,results/bayesian_rd_data_contract_v1.csv,inference_readiness
rd_identification_design,source_row_count,10,results/bayesian_rd_identification_design_v1.csv,inference_readiness
rd_likelihood,source_row_count,13,results/bayesian_rd_likelihood_specification_v1.csv,inference_readiness
rd_prior,source_row_count,5,results/bayesian_rd_prior_specification_v1.csv,inference_readiness
rd_bootstrap_summary,source_row_count,3,results/bayesian_rd_summary_bootstrap_v1.csv,empirical_summary
rd_readiness_audit,source_row_count,6,results/bayesian_rd_estimation_readiness_audit_v1.csv,validated_structural
