country,estimate,standard_error,prior_mean,prior_sd,posterior_mean,posterior_sd,posterior_q025,posterior_median,posterior_q975,posterior_prob_negative,posterior_prob_positive,source_type
Pakistan,-87.4,35.4,0.0,1.0,-0.06968807807616254,0.9996012472825965,-2.0288705216513683,-0.06968807807616254,1.889494365499043,0.5277900979321792,0.47220990206782076,reported_estimate_and_standard_error
Pakistan,-87.4,35.4,0.0,2.0,-0.27808711699385924,1.996815690248872,-4.191773953646137,-0.27808711699385924,3.635599719658418,0.5553797416008265,0.4446202583991735,reported_estimate_and_standard_error
Pakistan,-87.4,35.4,0.0,5.0,-1.7094886399198852,4.9508601106538235,-11.412996149297365,-1.7094886399198852,7.994018869457595,0.6350622851848813,0.3649377148151187,reported_estimate_and_standard_error
Pakistan,-87.4,35.4,0.0,10.0,-6.458955334180734,9.62340329207864,-25.320479195359056,-6.458955334180734,12.40256852699759,0.7489444022785756,0.2510555977214244,reported_estimate_and_standard_error
Pakistan,-87.4,35.4,0.0,20.0,-21.147378354182294,17.41308874686681,-55.27640515764094,-21.147378354182294,12.98164844927635,0.8877126117870575,0.11228738821294248,reported_estimate_and_standard_error
Pakistan,-87.4,35.4,0.0,50.0,-58.21760862846243,28.891808446265483,-114.84451263137291,-58.21760862846243,-1.5907046255519433,0.9780487899068746,0.021951210093125395,reported_estimate_and_standard_error
Pakistan,-87.4,35.4,0.0,100.0,-77.66707307103073,33.37075366411286,-143.07254838964997,-77.66707307103073,-12.261597752411475,0.9900279919732351,0.0099720080267649,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,1.0,0.3374591312470808,0.9941444630694566,-1.6110282117989638,0.3374591312470808,2.2859464742931257,0.367136593554225,0.632863406445775,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,2.0,1.3041516245487366,1.9543527278456019,-2.5263093351162533,1.3041516245487366,5.134612584213726,0.25228829452456303,0.747711705475437,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,5.0,6.5897482670558185,4.393122547862733,-2.0206137064259773,6.5897482670558185,15.200110240537615,0.06680530132105866,0.9331946986789413,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,10.0,15.652079722703638,6.770565308208832,2.382015563637996,15.652079722703638,28.92214388176928,0.010394814446402612,0.9896051855535974,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,20.0,23.852756685374708,8.358112164642886,7.471157863928539,23.852756685374708,40.234355506820876,0.002159679933434022,0.997840320066566,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,50.0,27.953602822830256,9.048108527270099,10.219635981171113,27.953602822830256,45.6875696644894,0.00100266565734497,0.998997334342655,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,100.0,28.657443399070267,9.161311025113642,10.701603738677807,28.657443399070267,46.61328305946273,0.0008797190669778687,0.9991202809330222,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,1.0,0.537339483854881,0.993746812116997,-1.410368477645925,0.537339483854881,2.485047445355687,0.2943500500979169,0.7056499499020831,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,2.0,2.0718663622160793,1.9513368286433415,-1.752683543631477,2.0718663622160793,5.896416268063636,0.14417058459964094,0.8558294154003591,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,5.0,10.339698685346894,4.359185125926148,1.795852836588944,10.339698685346894,18.883544534104843,0.008847629632259713,0.9911523703677403,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,10.0,24.049997209977125,6.6482736433038,11.019620309734787,24.049997209977125,37.080374110219466,0.0001487426314056295,0.9998512573685944,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,20.0,35.9758769641702,8.13124536246399,20.038928904282443,35.9758769641702,51.91282502405795,4.835548188975025e-06,0.999995164451811,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,50.0,41.77635787702437,8.76227055753319,24.602623161463615,41.77635787702437,58.95009259258512,9.31451379915238e-07,0.9999990685486201,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,100.0,42.76128783902708,8.864959579512378,25.386286338779474,42.76128783902708,60.13628933927468,7.048429285227975e-07,0.9999992951570715,reported_estimate_and_standard_error
