country,estimate,standard_error,prior_mean,prior_sd,posterior_mean,posterior_sd,posterior_q025,posterior_median,posterior_q975,posterior_prob_negative,posterior_prob_positive,source_type
Pakistan,-87.4,35.4,0.0,10.0,-6.458955334180733,9.62340329207864,-25.320479195359056,-6.458955334180733,12.402568526997591,0.7489444022785756,0.2510555977214244,reported_estimate_and_standard_error
Israel,28.9,9.2,0.0,10.0,15.652079722703638,6.770565308208832,2.382015563637996,15.652079722703638,28.92214388176928,0.010394814446402612,0.9896051855535974,reported_estimate_and_standard_error
North Korea,43.1,8.9,0.0,10.0,24.04999720997712,6.6482736433038,11.019620309734783,24.04999720997712,37.08037411021946,0.0001487426314056295,0.9998512573685944,reported_estimate_and_standard_error
