state,United States,Russia,United Kingdom,France,China,India,Pakistan,North Korea,Israel,Switzerland,Belgium,Taiwan
United States,0.0,0.5295334175423481,0.3703681568755647,0.435903237658193,0.15473773031381857,0.5668115491711145,1.284332216675291,1.900825076816997,0.6975596201213325,0.7890751649128969,0.9525913850805263,0.7068975616582455
Russia,0.5295334175423481,0.0,0.3781392480662491,0.28847738067608264,0.4351645890298292,0.300062735840027,0.8770604017372827,1.4431585007970558,0.48570520332054745,0.7437874171249836,0.7293815341336601,0.602251828873721
United Kingdom,0.3703681568755647,0.3781392480662491,0.0,0.15304113945739148,0.30500046731684605,0.27828193602334944,0.9475192121862267,1.5837636448502925,0.4192781898410753,0.5149972004068176,0.6208160690924975,0.48025876498127346
France,0.435903237658193,0.28847738067608264,0.15304113945739148,0.0,0.333924750354597,0.20924434494317037,0.8824790948523714,1.5061491516264949,0.37620594527830614,0.5343673829365483,0.590475301885353,0.47225087310754016
China,0.15473773031381857,0.4351645890298292,0.30500046731684605,0.333924750354597,0.0,0.4608984778378989,1.1872986680500666,1.7909132198898057,0.596729961953156,0.7239731793174851,0.8631770561853952,0.6305804718292098
India,0.5668115491711145,0.300062735840027,0.27828193602334944,0.20924434494317037,0.4608984778378989,0.0,0.7379768425033681,1.3560047435471456,0.3316463484794011,0.5441718501873236,0.514562317638439,0.431096942959583
Pakistan,1.284332216675291,0.8770604017372827,0.9475192121862267,0.8824790948523714,1.1872986680500666,0.7379768425033681,0.0,0.6855043220872395,0.7359735352557688,0.8857228925534141,0.6178755749556187,0.8008698828442322
North Korea,1.900825076816997,1.4431585007970558,1.5837636448502925,1.5061491516264949,1.7909132198898057,1.3560047435471456,0.6855043220872395,0.0,1.3034306311852895,1.4860117006540352,1.2212335611826008,1.3767163631237744
Israel,0.6975596201213325,0.48570520332054745,0.4192781898410753,0.37620594527830614,0.596729961953156,0.3316463484794011,0.7359735352557688,1.3034306311852895,0.0,0.45831943002803066,0.49998137366335954,0.33660874231884336
Switzerland,0.7890751649128969,0.7437874171249836,0.5149972004068176,0.5343673829365483,0.7239731793174851,0.5441718501873236,0.8857228925534141,1.4860117006540352,0.45831943002803066,0.0,0.3504203813764206,0.4597881764617724
Belgium,0.9525913850805263,0.7293815341336601,0.6208160690924975,0.590475301885353,0.8631770561853952,0.514562317638439,0.6178755749556187,1.2212335611826008,0.49998137366335954,0.3504203813764206,0.0,0.556361681939704
Taiwan,0.7068975616582455,0.602251828873721,0.48025876498127346,0.47225087310754016,0.6305804718292098,0.431096942959583,0.8008698828442322,1.3767163631237744,0.33660874231884336,0.4597881764617724,0.556361681939704,0.0
