lambda,state_a,capability_a,state_b,capability_b,rank_crossover
0.02231175228064302,India,N,Taiwan,A,1
0.02250000775539965,United States,N,Pakistan,A,1
0.022827251296160412,Russia,E,North Korea,D,1
0.02289257311106316,Russia,D,Israel,E,1
0.02295826984492923,United Kingdom,E,Israel,D,1
0.02302434473485742,United Kingdom,D,Switzerland,E,1
0.02309080105532013,France,E,Switzerland,D,1
0.023157642118704292,France,D,Belgium,E,1
0.02358216258077755,Switzerland,E,Taiwan,M,1
0.02365188289926154,France,E,India,M,1
0.023840004243258623,Russia,R,China,E,1
0.023911259810175656,Israel,R,Taiwan,E,1
0.02431011616740132,France,T,North Korea,I,1
0.024384214051932977,Russia,I,Belgium,T,1
0.02445876502215124,China,T,Israel,I,1
0.02448308865186369,India,N,Belgium,S,1
0.024533773246519158,United Kingdom,I,Taiwan,T,1
0.024633866938889453,Pakistan,N,Taiwan,S,1
0.024709954655771485,United States,N,India,S,1
0.02484654115733022,United Kingdom,D,Taiwan,M,1
0.024923950402264364,India,M,Switzerland,D,1
0.0250802249730911,Pakistan,M,Belgium,D,1
0.025083232226228724,China,A,India,N,1
0.025159099457405115,United States,M,China,D,1
0.025238471609577397,North Korea,M,Taiwan,D,1
0.02524151693397804,India,A,Pakistan,N,1
0.025318346154655613,Russia,M,India,D,1
0.02540181200092179,Pakistan,A,North Korea,N,1
0.025479621624701566,United Kingdom,M,Pakistan,D,1
0.02556103230363073,United States,D,Switzerland,M,1
0.025928225951887377,Russia,L,Switzerland,T,1
0.02618524995581738,United Kingdom,E,Taiwan,M,1
0.02620838446766154,China,E,North Korea,R,1
0.026271239828512233,India,M,Switzerland,E,1
0.026294526600479103,Russia,R,Taiwan,E,1
0.026381236867299193,India,E,Israel,R,1
0.02644492507070713,Pakistan,M,Belgium,E,1
0.026606486805503097,North Korea,E,North Korea,D,1
0.026695270224879046,Russia,E,Russia,D,1
0.026784648152417434,Israel,E,Israel,D,1
0.026874626579562584,United Kingdom,E,United Kingdom,D,1
0.026965211578539098,Switzerland,E,Switzerland,D,1
0.027056409303717884,France,E,France,D,1
0.027148225993009974,Belgium,E,Belgium,D,1
0.02732811975814033,United States,I,France,T,1
0.027421793013572556,North Korea,I,Belgium,T,1
0.027516110649920142,Russia,I,China,T,1
0.027611079339202798,Israel,I,Taiwan,T,1
0.02770670584587008,United Kingdom,I,India,T,1
0.027956227930458752,France,S,India,N,1
0.02815299078730223,China,S,Pakistan,N,1
0.02825241453306077,United States,N,Taiwan,S,1
0.028268679295147002,Russia,L,United Kingdom,T,1
0.02835254300782621,India,S,North Korea,N,1
0.028368923294466993,Israel,L,Switzerland,T,1
0.028640893751792008,India,N,Belgium,A,1
0.02884744792454633,Pakistan,N,Taiwan,A,1
0.028951846284297044,United States,N,India,A,1
0.029099242626888285,United States,R,China,E,1
0.02916292642506171,Russia,N,Pakistan,A,1
0.029205474776457484,North Korea,R,Taiwan,E,1
0.029312485408110215,Russia,R,India,E,1
0.029434320417875127,Israel,E,Taiwan,M,1
0.029543017749192716,United Kingdom,E,India,M,1
0.029762838767687753,France,E,Pakistan,M,1
0.02987398057609216,United States,M,Belgium,E,1
0.031073586993030308,Russia,L,Israel,T,1
0.031194753604261324,United Kingdom,T,Israel,L,1
0.031201683889517936,France,T,Pakistan,I,1
0.03131686885521073,United Kingdom,L,Switzerland,T,1
0.031323853511451165,United States,I,Belgium,T,1
0.03144698359990873,China,T,North Korea,I,1
0.03157108552600468,Russia,I,Taiwan,T,1
0.03169617084106344,India,T,Israel,I,1
0.03188536628773256,United States,E,North Korea,D,1
0.03201295940480462,Russia,D,North Korea,E,1
0.032141577782900915,Russia,E,Israel,D,1
0.032271233829435794,United Kingdom,D,Israel,E,1
0.03240194015283574,United Kingdom,E,Switzerland,D,1
0.032533709566626684,France,D,Switzerland,E,1
0.03257765140852622,India,N,Switzerland,S,1
0.032666555093621444,France,E,Belgium,D,1
0.0327069058868126,China,E,Pakistan,R,1
0.03280048997021015,China,D,Belgium,E,1
0.03284117252920325,United States,R,Taiwan,E,1
0.03284515591851927,Pakistan,N,Belgium,S,1
0.032976546084123995,India,E,North Korea,R,1
0.03298056238273695,United States,N,China,S,1
0.03311708991396724,North Korea,N,Taiwan,S,1
0.033250669139929204,Pakistan,E,Israel,R,1
0.03325475249251239,Russia,N,India,S,1
0.03337454784047762,France,A,India,N,1
0.033603898052479916,Russia,E,Taiwan,M,1
0.03365535591197071,China,A,Pakistan,N,1
0.03372380784561825,Israel,H,Taiwan,N,1
0.03374564620934666,India,M,Israel,E,1
0.033797539439318104,United States,N,Taiwan,A,1
0.03394092942693234,India,A,North Korea,N,1
0.03403276058389454,Pakistan,M,Switzerland,E,1
0.03417815771623896,United States,M,France,E,1
0.034231390731180526,Pakistan,A,Israel,N,1
0.03432480253054743,North Korea,M,Belgium,E,1
0.034496431995573576,Russia,T,Russia,L,1
0.034645826671034545,Israel,T,Israel,L,1
0.034796520950234146,United Kingdom,T,United Kingdom,L,1
0.03494853186538839,Switzerland,T,Switzerland,L,1
0.03550042928387835,North Korea,D,Israel,R,1
0.03652066309875456,Pakistan,I,Belgium,T,1
0.036688147533226856,United States,I,China,T,1
0.03676143275216846,China,N,Israel,H,1
0.03685717521848608,North Korea,I,Taiwan,T,1
0.036931137945172526,United Kingdom,H,Taiwan,N,1
0.037027767583206535,Russia,I,India,T,1
0.03715441689243353,Israel,D,Taiwan,M,1
0.03732777837234785,United Kingdom,D,India,M,1
0.03737373406790225,United Kingdom,I,Pakistan,T,1
0.03751077043188484,Pakistan,R,Taiwan,E,1
0.03767940044964468,France,D,Pakistan,M,1
0.03768748123899885,United States,R,India,E,1
0.037857707414366094,United States,M,Belgium,D,1
0.03803770997624022,China,D,North Korea,M,1
0.038045945200489706,Russia,R,Pakistan,E,1
0.038219432437052364,Russia,M,Taiwan,D,1
0.038227746544259845,United States,E,Israel,R,1
0.038402899565217335,India,D,Israel,M,1
0.03869651960382803,Russia,R,North Korea,D,1
0.03876669497449275,Russia,L,North Korea,T,1
0.0387751692982637,Pakistan,D,Switzerland,M,1
0.03888460697333186,Russia,D,Israel,R,1
0.03895546681192863,Russia,T,Israel,L,1
0.03896402387605566,United States,D,France,M,1
0.03902960704358757,United Kingdom,S,India,N,1
0.03914608606901342,United Kingdom,L,Israel,T,1
0.03914973174479598,North Korea,E,Taiwan,M,1
0.039338579998821746,United Kingdom,T,Switzerland,L,1
0.03934226161837008,Russia,E,India,M,1
0.03941418710222312,France,S,Pakistan,N,1
0.039532976393125814,France,L,Switzerland,T,1
0.039609333311489796,United States,N,Belgium,S,1
0.03973305871609677,United Kingdom,E,Pakistan,M,1
0.03977743797343005,Pakistan,E,North Korea,D,1
0.03980642153882341,China,S,North Korea,N,1
0.0399313832153355,United States,M,Switzerland,E,1
0.03997620685952603,United States,E,Russia,D,1
0.039982737119933026,India,N,Switzerland,A,1
0.04000548091848649,Russia,N,Taiwan,S,1
0.04013169748927628,France,E,North Korea,M,1
0.04017697222862615,North Korea,E,Israel,D,1
0.04020654117043551,India,S,Israel,N,1
0.04033403163378251,Russia,M,Belgium,E,1
0.04037976431229785,Russia,E,United Kingdom,D,1
0.040386427094364866,Pakistan,N,Belgium,A,1
0.04040044656989189,Israel,H,Belgium,N,1
0.04058461395557684,Israel,E,Switzerland,D,1
0.04059134451636139,United States,N,China,A,1
0.04060550664509923,United Kingdom,H,China,N,1
0.040791552632607204,United Kingdom,E,France,D,1
0.04079835201163691,North Korea,N,Taiwan,A,1
0.04081265898203664,Switzerland,H,Taiwan,N,1
0.04100061246276269,Switzerland,E,Belgium,D,1
0.04100748172093208,Russia,N,India,A,1
0.041211826227266046,France,E,China,D,1
0.041425227386324814,Belgium,E,Taiwan,D,1
0.04143223967370123,United Kingdom,N,Pakistan,A,1
0.041959781148741236,Israel,R,Taiwan,M,1
0.04252503229556387,North Korea,R,North Korea,D,1
0.04275228759690984,Russia,R,Russia,D,1
0.042981984869236795,Israel,R,Israel,D,1
0.04349067074283843,China,E,India,R,1
0.043546485079131246,France,T,India,I,1
0.043968728112165324,India,E,Pakistan,R,1
0.044025777039872226,China,T,Pakistan,I,1
0.0442435379800822,United States,T,Russia,L,1
0.04426940138927885,United States,I,Taiwan,T,1
0.04445741207822481,Pakistan,E,North Korea,R,1
0.04448958506087708,North Korea,T,Israel,L,1
0.04451573701805282,India,T,North Korea,I,1
0.04465540848472825,Russia,L,United Kingdom,I,1
0.04470585037980512,United States,E,Russia,R,1
0.044738384078872484,Russia,T,United Kingdom,L,1
0.04483906512613343,France,N,Israel,H,1
0.04495708094659402,North Korea,E,Israel,R,1
0.04498998146266976,Israel,T,Switzerland,L,1
0.0450167251930801,Pakistan,T,Israel,I,1
0.04509179939233436,United Kingdom,H,Belgium,N,1
0.04524442469118797,United Kingdom,T,France,L,1
0.04527147186910733,United States,T,United Kingdom,I,1
0.0453473988689296,China,N,Switzerland,H,1
0.04550176232353341,Switzerland,T,Belgium,L,1
0.04560591255736968,France,H,Taiwan,N,1
0.04573069648007945,Russia,R,Taiwan,M,1
0.04599361146582524,India,M,Israel,R,1
0.04688789566688336,United States,E,Taiwan,M,1
0.0471643251615551,India,M,North Korea,E,1
0.04719428758940692,United States,R,North Korea,D,1
0.04747435236926138,Russia,D,North Korea,R,1
0.04772707903015244,Pakistan,M,Israel,E,1
0.047757760965818664,Russia,R,Israel,D,1
0.048013522176079154,United States,M,United Kingdom,E,1
0.04804457362367166,United Kingdom,D,Israel,R,1
0.04830342436821464,North Korea,M,Switzerland,E,1
0.04859684864358828,Russia,M,France,E,1
0.048665600568055335,Russia,L,Israel,I,1
0.0486682897903594,India,N,Israel,S,1
0.048893859580291306,Israel,M,Belgium,E,1
0.04896345506136135,United Kingdom,I,Israel,L,1
0.049267733877778906,Pakistan,N,Switzerland,S,1
0.04957302771993158,United States,N,France,S,1
0.04985384058725259,United Kingdom,A,India,N,1
0.049882128738768586,North Korea,N,Belgium,S,1
0.05019510859740764,Russia,N,China,S,1
0.05024632114654756,North Korea,R,Taiwan,M,1
0.05037336406215619,Israel,H,Switzerland,N,1
0.05048303386795608,France,A,Pakistan,N,1
0.050512040768891535,Israel,N,Taiwan,S,1
0.050563902406389326,Russia,R,India,M,1
0.0506925583995943,United Kingdom,H,France,N,1
0.05080362400184358,United States,N,Belgium,A,1
0.05083300059369073,United Kingdom,N,India,S,1
0.0510158237275458,Switzerland,H,Belgium,N,1
0.05103709258073799,Pakistan,A,Israel,H,1
0.051128311943823945,China,A,North Korea,N,1
0.0513432384276994,France,H,China,N,1
0.05145717676701047,Russia,N,Taiwan,A,1
0.05152248027622386,Russia,L,Pakistan,T,1
0.05167488290692612,Belgium,H,Taiwan,N,1
0.05179029959212653,India,A,Israel,N,1
0.051856451903774754,United States,T,Israel,L,1
0.05207556482921938,China,E,Taiwan,R,1
0.05219478142535122,United Kingdom,L,North Korea,T,1
0.05241676893532308,India,R,Taiwan,E,1
0.0524696543719816,Pakistan,A,Switzerland,N,1
0.05253755469836417,Russia,T,Switzerland,L,1
0.05288485985050306,France,L,Israel,T,1
0.053015385308679004,Pakistan,R,North Korea,D,1
0.053212973611006194,Russia,D,Pakistan,E,1
0.0532367873552749,United Kingdom,T,Belgium,L,1
0.05336905795506009,United States,R,Russia,D,1
0.05346711039890584,Russia,I,Russia,L,1
0.053467746375545355,United States,R,Pakistan,E,1
0.05356929630483487,United States,E,Israel,D,1
0.053593430110579494,China,L,Switzerland,T,1
0.053727481086546,North Korea,R,Israel,D,1
0.05382685620681028,Israel,I,Israel,L,1
0.05382750077044834,United States,E,North Korea,R,1
0.053930423157078196,United Kingdom,D,North Korea,E,1
0.054090751062126935,Russia,R,United Kingdom,D,1
0.05419147580377587,United Kingdom,I,United Kingdom,L,1
0.05419212912950718,Russia,R,North Korea,E,1
0.054285360309368605,France,T,Taiwan,I,1
0.05429645198601995,Russia,E,Switzerland,D,1
0.05445896686459863,Israel,R,Switzerland,D,1
0.054561731177192666,Russia,E,Israel,R,1
0.05465623951628066,India,I,Belgium,T,1
0.05466748328368359,France,D,Israel,E,1
0.055043620307814956,United Kingdom,E,Belgium,D,1
0.05516062279546968,India,S,Israel,H,1
0.05541341169174016,Pakistan,I,Taiwan,T,1
0.05542496917768858,China,D,Switzerland,E,1
0.0557514317088855,United States,R,Taiwan,M,1
0.055799919681952914,United States,I,India,T,1
0.05581163897392433,France,E,Taiwan,D,1
0.05600161915872268,United Kingdom,H,Pakistan,A,1
0.05614268610014369,India,M,North Korea,R,1
0.05620374184251156,India,D,Belgium,E,1
0.056589339836384166,Russia,I,Pakistan,T,1
0.05694190396013834,Pakistan,M,Israel,R,1
0.05699248572926588,United States,T,Israel,I,1
0.05740141690851566,United Kingdom,I,North Korea,T,1
0.05746617448073644,United Kingdom,N,Israel,H,1
0.057881956305780746,United Kingdom,H,Switzerland,N,1
0.05830379854576663,France,N,Switzerland,H,1
0.058438615601651235,Pakistan,E,Taiwan,M,1
0.05873183467792727,France,H,Belgium,N,1
0.058868640835750254,United States,E,India,M,1
0.0591662021281663,China,N,Belgium,H,1
0.059319798825655044,Russia,L,North Korea,I,1
0.05960704241816321,China,H,Taiwan,N,1
0.05974796115218432,Russia,E,Pakistan,M,1
0.05976293951934469,Russia,I,Israel,L,1
0.06019754623391442,United States,M,Israel,E,1
0.06021275089308429,United Kingdom,L,Israel,I,1
0.06059312621054421,Israel,H,Taiwan,S,1
0.0606539485932534,United Kingdom,E,North Korea,M,1
0.06066938471164417,United Kingdom,I,Switzerland,L,1
0.060935136754979816,Russia,D,Pakistan,R,1
0.06105556969055879,United Kingdom,H,India,S,1
0.0610886218145267,India,A,Israel,H,1
0.06111732447536414,Russia,M,Switzerland,E,1
0.061402835527481145,United States,R,Israel,D,1
0.06158783493681016,France,E,Israel,M,1
0.06187776933917373,United Kingdom,D,North Korea,R,1
0.06203604595203482,Pakistan,A,Switzerland,H,1
0.06206564603219482,United Kingdom,M,Belgium,E,1
0.062147173986060615,Pakistan,T,Israel,L,1
0.0623601073817404,Russia,R,Switzerland,D,1
0.06261127728656345,Pakistan,R,Taiwan,M,1
0.06263373771042147,United States,T,United Kingdom,L,1
0.06285002416371469,France,D,Israel,R,1
0.06310516415293764,United States,R,India,M,1
0.06312798038109373,North Korea,T,Switzerland,L,1
0.06363008522758049,Russia,T,France,L,1
0.06411668767815581,Russia,R,Pakistan,M,1
0.0641402413555771,Israel,T,Belgium,L,1
0.06462893806327033,Russia,S,India,N,1
0.0646347081022257,United States,M,Israel,R,1
0.06465864398443787,United Kingdom,T,China,L,1
0.06488327894907142,China,E,China,R,1
0.06518549469625218,Switzerland,T,Taiwan,L,1
0.0654138117736252,Taiwan,E,Taiwan,R,1
0.06562626018475476,United States,A,North Korea,L,1
0.06569031183703854,United Kingdom,S,Pakistan,N,1
0.06595309216824799,India,E,India,R,1
0.06604698986091878,Pakistan,S,North Korea,L,1
0.06619677383216852,India,N,Israel,A,1
0.06623417982793448,United States,N,Switzerland,S,1
0.06661129341246366,United States,I,Russia,L,1
0.0667871286642015,France,S,North Korea,N,1
0.06688372224201417,Israel,N,Israel,H,1
0.06705877556970768,Pakistan,E,Pakistan,R,1
0.06717058334192307,North Korea,I,Israel,L,1
0.06721256746772948,China,S,Israel,H,1
0.06731071182394142,Pakistan,N,Switzerland,A,1
0.06734938769185538,Russia,N,Belgium,S,1
0.0674476156912365,United Kingdom,N,United Kingdom,H,1
0.06762563712252745,United States,E,United States,R,1
0.06773934475471984,Russia,I,United Kingdom,L,1
0.06776126195765728,Israel,H,Taiwan,A,1
0.06778204311094133,United Kingdom,H,Taiwan,S,1
0.06788185885386468,United States,N,France,A,1
0.06792119404563957,China,S,Israel,N,1
0.0680210983033944,Switzerland,N,Switzerland,H,1
0.06820216397149083,North Korea,E,North Korea,R,1
0.06831782030251522,Israel,I,Switzerland,L,1
0.06834011349928742,United Kingdom,H,India,A,1
0.06836125127103773,India,S,Switzerland,H,1
0.06846278146236105,North Korea,N,Belgium,A,1
0.06850279298249361,United Kingdom,N,Taiwan,S,1
0.0686044167755868,France,N,France,H,1
0.06878860543993895,Russia,E,Russia,R,1
0.0689062609970798,United Kingdom,I,France,L,1
0.06905373278950204,Russia,N,China,A,1
0.06909443823230223,India,S,Switzerland,N,1
0.06919782634036419,Belgium,N,Belgium,H,1
0.06938521950089024,Israel,E,Israel,R,1
0.06952800137563481,France,H,Pakistan,A,1
0.0696549747915918,Israel,N,Taiwan,A,1
0.06980159113809606,China,N,China,H,1
0.07026677862834729,United Kingdom,N,India,A,1
0.07037626169238813,India,R,North Korea,D,1
0.07041598460900408,Taiwan,N,Taiwan,H,1
0.07148566254950625,United States,L,United States,A,1
0.07152320493025331,France,N,Pakistan,A,1
0.071636641448728,Pakistan,R,Israel,D,1
0.07194326992964765,United States,L,Pakistan,S,1
0.07203900843455949,India,M,Pakistan,R,1
0.07205452160687909,France,T,China,I,1
0.07213019691403451,North Korea,L,North Korea,A,1
0.0722839135484002,United States,R,United Kingdom,D,1
0.07259612021369502,United States,S,North Korea,L,1
0.07270940175182283,Belgium,T,Taiwan,I,1
0.0729429891385064,North Korea,R,Switzerland,D,1
0.07336020758785514,Pakistan,M,North Korea,R,1
0.07337629506645371,China,T,India,I,1
0.07361419405820989,Russia,R,France,D,1
0.07362496066431432,Russia,D,Taiwan,M,1
0.07403914850081106,United States,M,Russia,R,1
0.0742978662512512,Israel,R,Belgium,D,1
0.07430883378486706,India,M,Israel,D,1
0.0747307738587244,North Korea,M,Israel,R,1
0.0747474681358045,India,T,Pakistan,I,1
0.07545565189825713,Israel,H,Belgium,S,1
0.07571541482873219,Pakistan,M,Switzerland,D,1
0.07594651762249395,Russia,L,Pakistan,I,1
0.07607033776222961,China,A,Israel,H,1
0.07617086292310997,Pakistan,T,North Korea,I,1
0.07617412291101067,United Kingdom,H,China,S,1
0.07643886487410473,United States,M,France,D,1
0.07667441194473837,United States,I,Israel,L,1
0.0767891743243913,Russia,L,India,T,1
0.07680061888964002,United Kingdom,H,Taiwan,A,1
0.07690308471362066,United States,T,Russia,I,1
0.07690640767991745,Switzerland,H,Taiwan,S,1
0.07717627321406682,North Korea,M,Belgium,D,1
0.0774163940053941,United Kingdom,L,North Korea,I,1
0.07754505744004353,India,A,Switzerland,H,1
0.07764952067189602,North Korea,T,Israel,I,1
0.07765290845935577,France,H,India,S,1
0.07792804775211132,Russia,M,China,D,1
0.07817287678410073,Russia,I,Switzerland,L,1
0.07829217213802683,United Kingdom,L,Pakistan,T,1
0.07829946348959196,India,M,Pakistan,E,1
0.07841058875090967,Russia,T,United Kingdom,I,1
0.07849394900568692,United States,A,Pakistan,L,1
0.07869461244163457,Israel,M,Taiwan,D,1
0.07877154340142967,India,E,North Korea,D,1
0.07894428956169001,France,L,Israel,I,1
0.0789955170274939,Pakistan,L,Pakistan,S,1
0.07906595278625163,United States,T,Switzerland,L,1
0.07907808612270192,Pakistan,A,Belgium,H,1
0.07927174302501155,United States,L,North Korea,A,1
0.07947640808317936,United Kingdom,M,India,D,1
0.07973107873250564,United Kingdom,I,Belgium,L,1
0.07978333272989067,United States,L,United States,S,1
0.07985518103291235,France,L,North Korea,T,1
0.079862766430671,Pakistan,M,North Korea,E,1
0.07999295536003606,Russia,N,Israel,H,1
0.08006510558440624,Russia,A,North Korea,L,1
0.0803539444572523,Pakistan,E,Israel,D,1
0.08058702036230016,North Korea,L,North Korea,S,1
0.08066032413112037,Russia,T,Belgium,L,1
0.08066806326756502,United States,M,Russia,E,1
0.08080089313978378,United Kingdom,H,Israel,N,1
0.08108754478309038,France,M,Pakistan,D,1
0.08116922791115368,United States,E,United Kingdom,D,1
0.08148186837031522,China,L,Israel,T,1
0.0814897659671522,North Korea,M,Israel,E,1
0.08162531796407328,United Kingdom,N,Switzerland,H,1
0.08191785954615081,United States,D,Belgium,M,1
0.08200122492552538,North Korea,E,Switzerland,D,1
0.08232032005568768,United Kingdom,T,Taiwan,L,1
0.0823283810299756,Russia,M,United Kingdom,E,1
0.08246673969520851,France,H,Switzerland,N,1
0.08285045477264963,Russia,E,France,D,1
0.08304838923818504,India,R,Taiwan,M,1
0.08317620654870109,India,L,Switzerland,T,1
0.08318443602305935,Israel,M,Switzerland,E,1
0.08332568943780745,France,N,Belgium,H,1
0.08345447325856384,India,N,North Korea,L,1
0.08371745846088652,Israel,E,Belgium,D,1
0.08405848068666881,United Kingdom,M,France,E,1
0.08415538695411043,North Korea,D,Taiwan,R,1
0.08420272065671494,China,H,Belgium,N,1
0.08460279988400701,United Kingdom,E,China,D,1
0.08495108811158622,Switzerland,M,Belgium,E,1
0.08505006459112774,Russia,D,India,R,1
0.08509841036626506,China,N,Taiwan,H,1
0.08550706704423346,Switzerland,E,Taiwan,D,1
0.08571791476961217,United States,R,Pakistan,M,1
0.0860032652962828,France,S,Israel,H,1
0.08601336039626288,India,H,Taiwan,N,1
0.08604579416002198,China,E,Belgium,R,1
0.08643087335456096,France,E,India,D,1
0.08664630736837516,United States,M,North Korea,R,1
0.08670197713236556,Israel,H,Belgium,A,1
0.08689772895626592,United Kingdom,D,Pakistan,R,1
0.08693788302352902,United Kingdom,H,Belgium,S,1
0.08698134148567686,China,R,Taiwan,E,1
0.08759503061166524,Russia,R,North Korea,M,1
0.08765192654877048,United Kingdom,H,China,A,1
0.08785199632690115,United States,R,Switzerland,D,1
0.08789303734847709,China,S,Switzerland,H,1
